,symbol,lexpressionChangeLogFc,pValue,crResult,measurementMethod,measurementType,restrictionPercent,restrictionTime,age,organism,line,sex,tissue,experimentNumber,doi,expressionChangePercent,isoform
1758,Cspg4,-1.13733,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1759,Trabd2b,-0.74994,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1760,Plekhf2,-0.57073,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1761,Cdc42ep3,-0.50778,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1762,Thbs4,-0.43734,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1763,Egr1,-1.09148,0.008417,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1764,Pcx,-0.58953,0.008393,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1765,Mast4,-1.16126,0.008185,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1766,Zfp385b,-1.14804,0.00809,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1767,Frem2,-1.53177,0.00809,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1768,Hacd1,-0.67961,0.007814,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1769,Fstl1,-0.68408,0.00776,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1770,Fscn1,-0.99032,0.00761,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1771,Peak1,-0.84206,0.007597,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1772,Cxcl12,-0.74012,0.007577,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1773,Loxl2,-0.85039,0.007577,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1774,Igtp,-0.78612,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1775,H2-Q7,-0.99964,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1776,Pdlim1,-0.96395,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1777,Mcfd2,-0.60026,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1778,Slc41a3,-0.7371,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1779,Chil3,-4.6444,0.00725,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1780,Ralgapa2,-0.74039,0.006967,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1781,Usp24,-0.48384,0.006748,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1782,Cfl1,-0.50164,0.006556,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1783,Nfatc2,-0.74271,0.006499,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1784,Kank2,-0.5631,0.005933,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1785,Sesn3,-0.50803,0.005874,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1786,Pik3c2b,-0.63208,0.005521,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1787,Actg1,-0.47959,0.005521,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1788,Exd2,-0.59073,0.005521,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1789,Fam78a,-0.8395,0.005521,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1790,Pde4a,-1.09639,0.005413,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1791,Lace1,-0.63089,0.005395,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1792,Mmp9,-2.69526,0.005254,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1793,Itga4,-0.54268,0.005082,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1794,Col6a3,-0.98178,0.004758,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1795,Ibtk,-0.61702,0.004758,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1796,Garem,-0.8808,0.004665,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1797,Ano5,-0.60797,0.00464,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1798,Rgma,-0.77491,0.00446,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1799,Slc6a9,-0.94222,0.004234,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1800,Tceal7,-0.66077,0.004157,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1801,Tgfb3,-0.70866,0.004076,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1802,Dyrk2,-0.80589,0.004026,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1803,Bex1,-0.8753,0.003927,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1804,Camp,-4.44989,0.003927,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1805,Rasgrf2,-1.07704,0.003927,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1806,Emp1,-0.71645,0.003883,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1807,Stom,-0.66092,0.00362,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1808,Ckap4,-0.80612,0.00362,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1809,S100a9,-5.43657,0.002967,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1810,Hba-a2,-1.05322,0.002701,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1811,Cbfa2t3,-0.65014,0.002612,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1812,Ky,-1.50605,0.002612,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1813,Slc6a6,-0.58485,0.002599,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1814,Hbb-bs,-0.91972,0.002599,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1815,Ifi27l2a,-1.85223,0.002599,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1816,Hdac9,-1.26138,0.002392,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1817,Gch1,-1.35241,0.002337,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1818,Pcdh12,-1.55807,0.002233,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1819,Cyp26b1,-1.19889,0.002172,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1820,Aplnr,-2.35278,0.002172,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1821,Podxl,-0.94257,0.002033,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1822,G0s2,-1.72166,0.00201,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1823,Heatr5a,-0.92949,0.0018,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1824,Cd248,-1.05816,0.001704,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1825,H2-Q6,-1.52772,0.001704,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1826,Ccnd1,-1.52416,0.001704,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1827,Tnfaip2,-1.24249,0.001591,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1828,Kdr,-0.94443,0.001446,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1829,Irs1,-1.28514,0.001321,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1830,Rnf213,-0.71477,0.001263,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1831,Ngp,-6.09546,0.000807,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1832,Bhlhe40,-0.94817,0.000582,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1833,Rtn4ip1,-0.77653,0.00057,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1834,Col3a1,-1.33922,0.000552,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1835,Stbd1,-0.79394,0.000533,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1836,Nr1d1,-1.56413,0.000523,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1837,B3galnt2,-0.6007,0.000467,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1838,Dbp,-1.04216,0.000447,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1839,Sec14l5,-1.63178,0.000347,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1840,Slc4a1,-4.90016,0.000218,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1841,Serpinh1,-1.06689,0.000218,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1842,Hba-a1,-1.13539,0.000188,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1843,Ltf,-6.17515,0.000159,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1844,1110002E22Rik,-1.57987,0.000158,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1845,Col1a2,-1.28603,0.000121,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1846,Kbtbd13,-1.22439,0.0000773,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1847,Cxxc5,-1.09198,0.0000685,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1848,Dusp10,-1.2522,0.0000685,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1849,Oxct1,-0.82312,0.000062,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1850,Mkl1,-1.48091,0.0000105,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1851,Col1a1,-1.93994,0.00000141,decrease,RNAseq,mRNA,40,20_days,80_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1852,Sorl1,1.659,0.045,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1853,Gm10069,-2.43,0.044,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1854,Atp1a3,2.397,0.045,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1855,Elovl6,3.155,0.004,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1856,Pth1r,1.42,0.045,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1857,Tmem79,1.781,0.022,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1858,Serpina1e,-6.03,0.045,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1859,Acot3,2.608,0.045,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1860,Slc2a5,2.364,0.047,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1861,Pdk1,1.066,0.047,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1862,Oscp1,1.144,0.024,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1863,Rorc,1.22,0.034,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1864,Tgm3,5.542,0.003,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1865,Npdc1,-0.272,0.97,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1866,Pcdh1,-0.602,0.448,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1867,St5,-0.281,0.969,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1868,Psph,0.637,0.717,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1869,Ntrk2,-0.489,0.894,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1870,Nek6,-0.382,0.971,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1871,Fads1,0.127,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1872,Tmem53,0.449,0.772,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1873,Usp2,0.845,0.219,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1874,Pmm1,0.583,0.738,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1875,Egfr,-0.834,0.116,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1876,Gm15386,3.721,0.841,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1877,Cox4i1,0.451,0.709,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1878,Dock11,-0.668,0.398,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1879,Metap1,0.336,0.954,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1880,Akr1c14,-1.293,0.534,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1881,Cdh11,-0.574,0.966,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1882,Pxdn,-0.547,0.759,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1883,Nid2,-0.422,0.97,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1884,Magi1,-0.389,0.764,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1885,Gbe1,0.945,0.453,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1886,Itpripl2,-0.407,0.819,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1887,Slc9a2,2.704,0.229,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1888,Gcnt4,0.755,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1889,Plce1,-0.508,0.756,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1890,Bcl6b,-0.773,0.408,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1891,Rassf6,0.953,0.673,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1892,Zeb2,-0.452,0.819,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1893,Cst11,2.678,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1894,Acss2,1.471,0.247,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1895,Akr1c6,-2.895,0.998,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1896,Tecr,0.874,0.181,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1897,Lmo2,-0.132,0.998,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1898,Pla2g12a,0.43,0.894,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1899,Il2rg,-0.208,0.998,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1900,Defb25,2.359,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1901,Gclm,0.517,0.76,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1902,Tfpi,-0.368,0.933,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1903,Plxna1,-0.254,0.976,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1904,Thbd,-0.584,0.97,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1905,Fbn1,-0.595,0.97,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1906,Spink2,0.424,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1907,Adamts16,-1.519,0.479,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1908,Apob,-3.01,0.969,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1909,Ccdc18,0.753,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1910,Npr3,-0.638,0.969,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1911,Ascl4,2.171,0.97,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1912,Stard13,-0.498,0.305,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1913,Crispld2,-0.933,0.386,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1914,Bank1,-0.791,0.607,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1915,Gjc1,-0.539,0.617,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1916,Sash1,-0.495,0.663,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1917,Gng11,-0.436,0.717,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1918,Plekha2,-0.302,0.833,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1919,Cpt1a,-0.221,0.989,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1920,Col18a1,-0.492,0.734,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1921,Sipa1,-0.599,0.458,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1922,Asgr2,-1.592,0.663,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1923,Haao,-1.649,0.617,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1924,Hpd,-2.399,0.333,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1925,Pcsk4,1.188,0.3,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1926,Cst8,1.43,0.998,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1927,Fam198b,-0.397,0.871,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1928,Boc,-0.363,0.849,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1929,Ndn,-0.331,0.987,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1930,Cdh2,-0.784,0.617,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1931,Acot4,1.107,0.21,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1932,Nr1d1,-0.412,0.987,decrease,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
1933,Rnf146,0.72,0.674,increase,RNAseq,mRNA,10,3_months,8_months,mouse,C57BL/6,male,fat,8,10.1093/gerona/glx101,,
