gene_symbol,reference,organism_name,organism_line_id,sex,change_value,p_value,sample,min_age_of_controls,min_age_of_experiment,mean_age_of_controls,mean_age_of_experiment,max_age_of_controls,max_age_of_experiment,age_units,change_type,n_of_controls,n_of_experiment,statistical_method,change_evaluation_by,measurement_method,comment,pmid
LOX,10.1007/BF03323883,rat,Wistar,male,54.0%,,skin,n/a,n/a,60,480,n/a,n/a,days,reduced protein activity,n/a,n/a,n/a,n/a,lysyl oxidase assay,"The PBS soluble lysyl oxidase, representing the amount of newly synthesized enzyme, showed uniformly low rates of activity at all ages examined. By contrast, the activity of the 8 M urea extracted lysyl oxidase, i.e. the substrate-bound enzyme, appeared to be differently modulated during the variousstages oflife: a progressive increase during the period of growth, reaching a maximum at 60 d, was followed by a lowersteady state in the adult and old animals.",n/a
LOX,10.1007/BF03323883,rat,Wistar,male,59.0%,,skin,n/a,n/a,60,720,n/a,n/a,days,reduced protein activity,n/a,n/a,n/a,n/a,lysyl oxidase assay,"The PBS soluble lysyl oxidase, representing the amount of newly synthesized enzyme, showed uniformly low rates of activity at all ages examined. By contrast, the activity of the 8 M urea extracted lysyl oxidase, i.e. the substrate-bound enzyme, appeared to be differently modulated during the variousstages oflife: a progressive increase during the period of growth, reaching a maximum at 60 d, was followed by a lowersteady state in the adult and old animals.",n/a
COL3A1,10.1007/s00125-015-3837-8,rat,Wistar,male,67.0%,<0.01,pancreas,n/a,n/a,3,15,n/a,n/a,months,decreased gene methylation,4-10,4-10,Mann-Whitney test,n/a,massArray,Authors found the age-associated decline by 67 percent in the COL3A1 gene promoter methylation in the pancreatic islet.,n/a
BCL6,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.009410906,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,BCL6 is upregulated in aged human skin as revealed by microarray analysis and logistic regression model.,n/a
ERCC5,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.00035677,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Gene expression of ERCC5 increases with age in human skin.,n/a
FJX1,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.000617105,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Gene expression of FJX1 increases with age in the abdominal skin. 856 female twins in the age range of 39-85 years were investigated.,n/a
FOLR2,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.00028212,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,"Using a linear mixed model, differential expression with age was identified in FOLR2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins.",n/a
GPX4,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.000609809,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Gene expression of GPX4 decreases with age.,n/a
MTR,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.000118645,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,"Using a linear mixed model, differential expression with age was identified in MTR in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age.",n/a
NIPBL,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.001537566,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,A linear mixed model was used to examine gene expression variability by age in samples from photoprotected infra-umbilical skin of female twins.,n/a
RET,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.004114123,adipose tissue,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,"Using a linear mixed model, differential expression with age was identified in RET in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age.",n/a
SMOC1,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.002063429,adipose tissue,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age.,n/a
SMOC2,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.00305753,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age.,n/a
TRPV1,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.007947182,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Differential expression with age was identified in TRPV1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age.,n/a
UCP2,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.000403425,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Gene expression of UCP2 decreases with age in а female skin.,n/a
AHSP,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,2.56e-05,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,Expression of the AHSP gene decreases with age in the skin of the abdomen. A total of 856 female twins at the age from 39 to 85 years old were investigated.,n/a
ELMO1,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.008517023,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,ELMO1 is downregulated in aged human skin as revealed by microarray analysis and logistic regression model.,n/a
DLK2,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,5.31e-08,skin,n/a,39,n/a,n/a,n/a,85,years,increased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,DLK2 is upregulated in aged human skin as revealed by microarray analysis and logistic regression model.,n/a
BCL6,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,9.15e-06,adipose tissue,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,BCL6 is downregulated in aged human adipose tissue as revealed by microarray analysis and logistic regression model.,n/a
PPM1H,10.1186/gb-2013-14-7-r75,human,n/a,female,n/a,0.007007389,skin,n/a,39,n/a,n/a,n/a,85,years,decreased gene expression,n/a,856,"chi-square, Benjamini-Hochberg correction for multiple testing",mRNA,microarray,"Punch biopsies (8mm) were taken from photoprotected infra-umbilical skin of female twins. A linear mixed model was used to examine gene expression variability by age and confounding factors including as fixed effect batch and RNA concentration (only in skin samples), and as random effects family relationship and zygosity. Information about gene is in additional online files.",n/a
IKBKB,10.1007/s10495-013-0806-x,rhesus monkey,Macaca mulatta,all,125.0%,0.0034,oral mucosa,3,18,n/a,n/a,7,23,years,increased gene expression,5,5,linear regression,mRNA,"microarray, qPCR",n/a,n/a
IKBKB,10.1007/s10495-013-0806-x,rhesus monkey,Macaca mulatta,all,50.0%,0.0034,oral mucosa,3,12,n/a,n/a,7,16,years,increased gene expression,5,8,linear regression,mRNA,"microarray, qPCR",n/a,n/a
COL3A1,10.1007/s00125-015-3837-8,rat,Wistar,male,331.0%,<0.05,pancreas,n/a,n/a,3,15,n/a,n/a,months,increased gene expression,4-10,4-10,n/a,mRNA,"microarray, qPCR",The COL3A1 gene mRNA level in the pancreatic islet was estimated.,n/a
RB1,10.1002/reg2.25,axolotl,Ambystoma mexicanum,n/a,n/a,<0.05,iris,n/a,n/a,7,91,n/a,n/a,days,increased gene expression,n/a,n/a,Student t-test,mRNA,"microarray, qPCR",n/a,n/a
TYMS,10.1002/reg2.25,axolotl,Ambystoma mexicanum,n/a,n/a,<0.05,iris,n/a,n/a,7,90,n/a,n/a,days,decreased gene expression,n/a,n/a,Student t-test,mRNA,"microarray, qPCR",n/a,n/a
NIPSNAP1,10.1002/hipo.20703,mouse,C57BL/6,female,17.0%,<0.025,hippocampus,n/a,n/a,4,18,n/a,n/a,months,decreased gene expression,26,28,two-tailed t test,mRNA,"microarray, qPCR","In aged mice (18 months), NIPSNAP1 estradiol-induced expression was decreased compared to young (4 months) or middle-aged (12 months) mice.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,26.0%,<0.05,liver,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,45.0%,<0.05,kidney,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,27.0%,<0.05,lung,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,20.0%,<0.05,blood,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,20.0%,<0.05,liver,n/a,n/a,3,12,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,38.0%,<0.05,kidney,n/a,n/a,3,12,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,26.0%,<0.05,liver,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,45.0%,<0.05,kidney,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,27.0%,<0.05,lung,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,20.0%,<0.05,blood,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,20.0%,<0.05,liver,n/a,n/a,3,12,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,38.0%,<0.05,kidney,n/a,n/a,3,12,n/a,n/a,months,reduced protein activity,n/a,n/a,ANOVA,n/a,n/a,"GCL activity was significantly decreased with increased age in liver, kidney, lung, and red blood cells (RBC). Parallel with the decreased enzyme activity, the protein and mRNA contents of both GCL subunits also changed inversely with age in liver, kidney, and lung, implying a decreased GCL gene expression during aging.",n/a
IL6,10.1007/s11357-011-9244-2,human,n/a,female,67.5%,ns,serum,22,32,n/a,n/a,31,41,years,increased gene expression,30,48,"ANOVA, Bonferroni’s post hoc",protein,n/a,n/a,n/a
IL6,10.1007/s11357-011-9244-2,human,n/a,female,121.0%,<0.05,serum,22,52,n/a,n/a,31,63,years,increased gene expression,30,67,"ANOVA, Bonferroni’s post hoc",protein,n/a,n/a,n/a
MSRA,10.1007/s10522-008-9152-8,rat,Wistar,female,36.0%,0.021,tongue,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,12,10,"ANOVA, Scheffe post hoc test",protein,n/a,n/a,n/a
MSRA,10.1007/s10522-008-9152-8,rat,Wistar,female,23.0%,0.011,esophagus,n/a,n/a,3,24,n/a,n/a,months,reduced protein activity,10,9,"ANOVA, Scheffe post hoc test",protein,n/a,n/a,n/a
PON1,10.1007/s10238-008-0156-0,human,n/a,all,57.0%,<0.001,serum,22,66,n/a,n/a,45,89,years,reduced protein activity,29,32,Kruskal-Wallis test,n/a,n/a,"Serum PON1 activities of elderly subjects were significantly decreased compared with those of the young subjects (p < 0.001). Young group: n=29, 22-45 yrs Elderly group: n=32, 66-89 yrs Plasma PON1 activity was assayed using synthetic paraoxon (diethyl-p-nitrophenyl phosphate) as substrate. PON1 activity was determined by measuring the initial rate of substrate hydrolysis to p-nitrophenol, the absorbance of which was monitored at 412 nm.",n/a
TERT,10.1002/(SICI)1520-6408(1996)18:2<173::AID-DVG10>3.0.CO;2-3,human,n/a,all,100.0%,,skin,n/a,n/a,0,37,n/a,n/a,years,reduced protein activity,n/a,n/a,n/a,protein,n/a,"Telomerase activity was detected in fetal, newborn, and adult testes and ovaries, but not in mature spermatozoa or oocytes. Blastocysts expressed high levels of telomerase activity as did most human somatic tissues at 16-20 weeks of development with the exception of human brain tissue.",n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,18.6%,,hypothalamus,n/a,n/a,2,24,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,21.2%,,cortex,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,38.1%,,hippocampus,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,26.2%,,liver,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,18.6%,,kidney,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,27.7%,,spleen,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,female,8.65%,,ovary,n/a,n/a,2,24,n/a,n/a,months,increased protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,male,27.9%,,testis,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,83.0%,,hypothalamus,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,61.0%,,cerebellum,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,54.0%,,cortex,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,8.6%,,hippocampus,n/a,n/a,2,12,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,14.0%,,liver,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,35.0%,,kidney,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,20.0%,,spleen,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,female,32.0%,,ovary,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,male,62.0%,,testis,n/a,n/a,2,12,n/a,n/a,months,increased protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,12.0%,,hypothalamus,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,15.0%,,cerebellum,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,10.0%,,cortex,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,25.0%,,hippocampus,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,44.0%,,kidney,n/a,n/a,2,6,n/a,n/a,months,increased protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,all,33.0%,,spleen,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,8,8,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,female,35.0%,,ovary,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
POLB,10.1007/s11064-011-0694-9,rat,Wistar,male,16.0%,,testis,n/a,n/a,2,6,n/a,n/a,months,reduced protein activity,4,4,n/a,n/a,n/a,Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4.,n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,195.8%,<0.05,kidney,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,5.8%,ns,tibia,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,32.7%,<0.05,tibia,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,"62,50%",ns,kidney,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,"121,90%",<0.05,kidney,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,"50,80%",<0.05,tibia,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,"47,60%",ns,tibia,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,83.0%,ns,quadriceps muscle,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,36.0%,<0.05,quadriceps muscle,n/a,n/a,6,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
