gene_id,gene_symbol,gene_name,organism,p_value,sample,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_controls,max_age_of_controls,min_age_of_experiment,max_age_of_experiment,n_of_controls,n_of_experiment,reference,fc,log_fc,change_value,q-value
W74620,HNRNPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",human,"0,007172653132",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,67",,"-40,11976048",
AB059408,HOPX,homeodomain-only protein /// homeodomain-only protein,human,"0,0005468516059",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,65",,165,
NM_000860,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),human,"0,01623861611",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"3,04",,"-67,10526316",
AI742626,HRB,HIV-1 Rev binding protein,human,"0,01287565987",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,96",,"-48,97959184",
AI247494,HRBL,HIV-1 Rev binding protein-like,human,"0,01462811935",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,64,
BC005329,HSF2,heat shock transcription factor 2,human,"0,003707948082",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,74",,"-63,50364964",
AI218219,HSP90AB1,"heat shock 90kDa protein 1, beta",human,"0,02018391232",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,82",,"-45,05494505",
NM_003299,HSP90B1,tumor rejection antigen (gp96) 1,human,"0,002256183672",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,59",,59,
NM_014920,ICK,intestinal cell (MAK-like) kinase,human,"0,01067483977",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,52",,"-34,21052632",
AI819238,ID2,Homo sapiens transcribed sequence with strong similarity to protein pir:A40227 (H.sapiens) A40227 transcription repressor Id-2 - human,human,"1,31E-05",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,57",,156,
AF050145,IDS,iduronate 2-sulfatase (Hunter syndrome),human,"0,003862749112",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,76",,76,
NM_001551,IGBP1,immunoglobulin (CD79A) binding protein 1,human,"0,00966218517",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,56",,"-35,8974359",
AI830698,IGF1R,insulin-like growth factor 1 receptor,human,"0,0007073653496",CD8+ T cells,decreased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,47",,"-59,51417004",
S80876,IKZF1,"zinc finger protein, subfamily 1A, 1 (Ikaros)",human,"0,008352523126",CD8+ T cells,decreased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"4,85",,"-79,3814433",
NM_000585,IL15,interleukin 15,human,"0,001645931538",CD8+ T cells,increased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"6,61",,561,
NM_002184,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",human,"0,004978663393",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,4,,-75,
AW193656,ING1,"inhibitor of growth family, member 1",human,"0,0001868782285",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,2",,"-54,54545455",
NM_001564,ING2,"inhibitor of growth family, member 1-like",human,"0,0007567814466",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,64",,"-62,12121212",
NM_001566,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa",human,"0,0008533749037",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,27",,"-55,94713656",
NM_003866,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa",human,"0,002112581394",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,85",,185,
AF039217,INVS,inversin,human,"0,0004994298619",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,66",,"-39,75903614",
NM_005544,IRS1,insulin receptor substrate 1,human,"7,47E-05",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,73",,"-63,36996337",
AF073310,IRS2,insulin receptor substrate 2,human,"0,009369050653",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,54",,"-35,06493506",
NM_030940,ISCA1,hypothetical protein MGC4276 similar to CG8198 /// hypothetical protein MGC4276 similar to CG8198,human,"0,01734523363",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,74",,"-42,52873563",
AB056663,ITCH,itchy homolog E3 ubiquitin protein ligase (mouse),human,"0,00274886169",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,61",,"-37,88819876",
NM_000210,ITGA6,"integrin, alpha 6",human,"0,003110759544",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,5",,-60,
NM_000211,ITGB2,"integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)",human,"0,008382141139",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,52",,52,
D13720,ITK,IL2-inducible T-cell kinase,human,"0,001122032295",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,63",,"-38,65030675",
NM_002221,ITPKB,"inositol 1,4,5-trisphosphate 3-kinase B",human,"0,004863086538",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,62",,"-38,27160494",
AA834576,ITPR2,Homo sapiens transcribed sequences,human,"0,02715509925",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,55",,55,
NM_006618,JARID1B,putative DNA/chromatin binding motif,human,"0,001337589203",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,75",,"-42,85714286",
AA524505,JMJD1A,jumonji domain containing 1,human,"0,0006014380331",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,89",,"-47,08994709",
BC001202,JMJD1B,chromosome 5 open reading frame 7,human,"0,0006676843352",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,55",,"-35,48387097",
AB002344,JMJD3,KIAA0346 protein,human,"0,02928320087",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,54",,54,
NM_025164,KIAA0999,KIAA0999 protein,human,"0,0004880005455",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,76",,"-43,18181818",
BE872563,KIF2A,kinesin heavy chain member 2,human,"0,003290457038",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,02",,"-50,4950495",
NM_004798,KIF3B,kinesin family member 3B,human,"0,0008474871259",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,50",,50,
NM_004521,KIF5B,kinesin family member 5B,human,"0,002310018495",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,95",,"-48,71794872",
NM_016531,KLF3,Kruppel-like factor 3 (basic),human,"0,0001522568233",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,66",,"-62,40601504",
AB017493,KLF6,core promoter element binding protein,human,"9,48E-05",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,9",,89,
AA488672,KLF7,Kruppel-like factor 7 (ubiquitous),human,"0,002896700013",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,48",,"-59,67741935",
NM_007334,KLRD1,"killer cell lectin-like receptor subfamily D, member 1",human,"0,001409807379",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,8",,80,
NM_016523,KLRF1,"killer cell lectin-like receptor subfamily F, member 1",human,"0,0001654153221",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"6,01",,501,
U93240,KPNA4,karyopherin alpha 4 (importin alpha 3),human,"0,001103609955",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,19",,"-54,33789954",
NM_002269,KPNA5,karyopherin alpha 5 (importin alpha 6),human,"0,002563077088",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,39",,"-58,15899582",
NM_006121,KRT1,keratin 1 (epidermolytic hyperkeratosis),human,"0,004553034644",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"5,11",,411,
NM_004986,KTN1,kinectin 1 (kinesin receptor),human,"0,004952234597",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,53",,53,
AI658534,LASS6,hypothetical protein LOC253782,human,"0,006921939967",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,89",,"-47,08994709",
NM_030915,LBH,likely ortholog of mouse limb-bud and heart gene /// likely ortholog of mouse limb-bud and heart gene,human,"0,002710876653",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,76",,"-43,18181818",
U07236,LCK,lymphocyte-specific protein tyrosine kinase,human,"0,008342216203",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,78",,"-43,82022472",
AL545035,LDLRAP1,LDL receptor adaptor protein,human,"0,0006388610418",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,39",,"-58,15899582",
AF294627,LEF1,lymphoid enhancer-binding factor 1,human,"0,0007450398572",CD8+ T cells,decreased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"4,84",,"-79,33884298",
NM_002305,LGALS1,"lectin, galactoside-binding, soluble, 1 (galectin 1)",human,"0,01411163088",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,66",,166,
NM_006893,LGTN,ligatin,human,"0,006357761788",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,58",,"-36,70886076",
NM_005569,LIMK2,LIM domain kinase 2,human,"0,01273138369",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,76",,76,
U09716,LMAN1,"lectin, mannose-binding, 1",human,"0,008738047091",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,15",,"-53,48837209",
NM_005575,LNPEP,leucyl/cystinyl aminopeptidase,human,"0,0093192558",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,3",,"-56,52173913",
AW194543,LOC220594,TL132 protein,human,"0,001496185643",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,51",,51,
AI525402,LPHN1,latrophilin 1,human,"0,007578987633",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,75",,"-42,85714286",
NM_006152,LRMP,lymphoid-restricted membrane protein,human,"0,02281549243",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,73",,"-42,19653179",
NM_017522,LRP8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",human,"0,000220075212",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,18",,118,
AF196468,LSM2,"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)",human,"0,02854012448",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,57",,"-36,30573248",
AA112507,LSM4,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)",human,"0,006847561607",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,72",,"-41,86046512",
AW084510,LSS,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)",human,"0,006086504828",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,13",,112,
AI735692,LST1,natural cytotoxicity triggering receptor 3,human,"0,007992726306",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,41",,141,
AB029290,MACF1,microtubule-actin crosslinking factor 1,human,"0,0006194650977",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,71",,71,
NM_003550,MAD1L1,MAD1 mitotic arrest deficient-like 1 (yeast),human,"0,001024829381",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,99",,"-49,74874372",
NM_005360,MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian),human,"0,009846390272",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,84",,84,
NM_012323,MAFF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian),human,"0,01524364948",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,41",,141,
NM_002359,MAFG,v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian),human,"0,007025950627",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,86",,86,
BE543064,MAN1A2,"mannosidase, alpha, class 1A, member 2",human,"0,01692334164",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,53",,"-34,64052288",
NM_020379,MAN1C1,"mannosidase, alpha, class 1C, member 1",human,"0,0009244844081",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,03",,"-50,73891626",
AF239798,MAP3K2,mitogen-activated protein kinase kinase kinase 2 /// mitogen-activated protein kinase kinase kinase 2,human,"0,004073941954",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,"-39,39393939",
D84476,MAP3K5,mitogen-activated protein kinase kinase kinase 5,human,"1,30E-05",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,73",,173,
NM_005204,MAP3K8,mitogen-activated protein kinase kinase kinase 8,human,"0,00113137621",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"3,75",,275,
AL523310,MAP4,microtubule-associated protein 4,human,"0,01432530201",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,64,
AA744529,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,human,"0,008898489889",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,67",,67,
NM_002745,MAPK1,mitogen-activated protein kinase 1,human,"0,02948798012",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,55",,"-35,48387097",
AF100544,MAPK14,mitogen-activated protein kinase 14,human,"0,007508995262",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,16",,"-53,7037037",
NM_014268,MAPRE2,"microtubule-associated protein, RP/EB family, member 2",human,"0,0006552455106",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,56",,"-35,8974359",
BC001686,MAT2A,"methionine adenosyltransferase II, alpha",human,"9,44E-06",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,57",,57,
NM_002382,MAX,MAX protein,human,"0,002543947686",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,26",,"-55,75221239",
BF512200,MBNL1,muscleblind-like (Drosophila),human,"0,008179521493",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,89",,"-47,08994709",
AW070431,MBP,myelin basic protein,human,"5,35E-05",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"3,32",,"-69,87951807",
BF594446,MCL1,myeloid cell leukemia sequence 1 (BCL2-related),human,"0,004138506425",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,92",,"-47,91666667",
AI859865,MCM4,MCM4 minichromosome maintenance deficient 4 (S. cerevisiae),human,"0,0008483414678",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,52",,52,
NM_014060,MCTS1,malignant T cell amplified sequence 1,human,"0,003719112759",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,67",,"-40,11976048",
NM_002395,ME1,"malic enzyme 1, NADP(+)-dependent, cytosolic",human,"0,007148417646",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"5,8",,480,
AA314406,MED16,"thyroid hormone receptor-associated protein, 95-kD subunit",human,"0,001834440616",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,64,
U46837,MED21,SRB7 suppressor of RNA polymerase B homolog (yeast),human,"0,02121163606",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,66",,"-39,75903614",
AK024944,MED28,Homo sapiens mRNA; cDNA DKFZp434N185 (from clone DKFZp434N185),human,"0,001990235191",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,62",,"-61,83206107",
NM_005371,METTL1,methyltransferase-like 1,human,"0,001002661328",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,82",,82,
BF739959,MFHAS1,malignant fibrous histiocytoma amplified sequence 1,human,"0,005313978611",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,96",,96,
NM_012214,MGAT4A,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A",human,"0,000834798718",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"3,21",,"-68,84735202",
NM_021242,MID1IP1,hypothetical protein STRAIT11499,human,"0,007469410384",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,66",,"-39,75903614",
NM_002415,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor),human,"0,01644862011",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,"-39,39393939",
NM_015517,MIZF,MBD2 (methyl-CpG-binding protein)-interacting zinc finger protein,human,"0,0002978983015",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,63",,"-38,65030675",
AB037859,MKL1,megakaryoblastic leukemia (translocation) 1,human,"0,001115538049",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,60",,"-37,5",
NM_024629,MLF1IP,KSHV latent nuclear antigen interacting protein 1,human,"0,003835569035",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,64",,63,
AF312918,MLXIP,Mlx interactor,human,"0,0007586620127",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,83",,"-45,35519126",
NM_006792,MORF4,mortality factor 4,human,"0,009327402279",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,65",,"-39,39393939",
AL136659,MRPL42,mitochondrial ribosomal protein L42,human,"0,0003654515224",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,48",,"-59,67741935",
NM_016065,MRPS16,mitochondrial ribosomal protein S16,human,"0,008132463395",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,54",,"-35,06493506",
BC005373,MRPS18B,mitochondrial ribosomal protein S18B,human,"0,02631348078",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,60",,"-37,5",
U04045,MSH2,"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",human,"0,01457380049",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,93",,"-48,1865285",
D89646,MSH6,mutS homolog 6 (E. coli),human,"0,0008979062847",CD8+ T cells,decreased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,55",,"-60,78431373",
NM_012228,MSRB2,pilin-like transcription factor,human,"0,02302988096",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,67",,"-40,11976048",
NM_005953,MT2A,metallothionein 2A,human,"0,000753084063",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,78",,78,
NM_004739,MTA2,hypothetical protein FLJ35827,human,"0,00476751489",CD8+ T cells,increased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,59",,59,
U58033,MTMR2,myotubularin related protein 2,human,"0,01049907258",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"1,68",,"-40,47619048",
AI695017,MTUS1,mitochondrial tumor suppressor gene 1,human,"0,01901151531",CD8+ T cells,decreased gene expression,mRNA,both,microarray,Student t-test,Years,23,27,65,81,5,4,10.1111/j.1474-9726.2009.00534.x,"2,17",,"-53,91705069",
